Wire/Tube/Splice,Section
163307101,4
16ACA6010,0.35
163438013,0.35
163436017,0.35
16AC79010,0.35
1633X8020,0.5
16930A025,0.5
16AC29010,0.35
16AC69010,0.35
164M07040,0.75
16AC9H010,0.35
163306103,4
16AC78010,0.35
163403010,0.35
16AC23010,0.35
E10549500,4
16ACG7010,0.35
16AC19010,0.35
16ACA2010,0.35
163465016,0.35
E00012838,0.5
163428014,0.35
16AC18010,0.35
E02052100,0.75
16AC16010,0.35
169A46010,0.35
163448012,0.35
163437010,0.35
163412018,0.35
163427016,0.35
163472080,2.5
167970102,4
164MA2020,0.5
163306087,2.5
164M26020,0.5
16AU06020,0.5
169428026,0.5
E00002996,0.5
164M68020,0.5
164MX0020,0.5
169436029,0.5
E00019736,0.5
E08356900,0.75
169306040,0.75
164M60020,0.5
E12577000,2.5
E12294800,0.75
E12295900,1
163442080,2.5
E12575100,0.5
E00005870,0.75
169437027,0.5
E12575200,0.5
E12575300,0.5
167806066,1.5
169486024,0.5
164M34020,0.5
164M82020,0.5
164M42020,0.5
E00012839,0.5
164MX5020,0.5
163365040,0.75
E09918300,0.75
163478043,0.75
E12304800,1.5
E00001726,0.5
E12575400,0.5
E00021937,0.5
169487063,1.5
164M80020,0.5
E02910200,0.75
163420020,0.5
164M5A020,0.5
164M42060,1.5
E00019733,0.5
169487022,0.5
E12296000,1
E12305100,1.5
E12295100,0.75
16BM50080,2.5
E12295300,0.75
16ACXG010,0.35
163302011,0.35
163478050,1
E07551500,2.5
16AC0G010,0.35
169436045,0.75
163304017,0.35
164M06040,0.75
163308018,0.35
167932029,0.5
E06582900,1.5
E12575500,0.5
E12849900,0.5
E12849600,0.5
163442015,0.35
169440047,0.75
169306024,0.5
163468010,0.35
163426018,0.35
16AC2G010,0.35
163470020,0.5
16342A019,0.35
E01550600,0.5
163303084,2.5
16ACX6010,0.35
164MX7080,2.5
163406010,0.35
16AC8A010,0.35
163434010,0.35
163470040,0.75
E12575600,0.5
E12575700,0.5
1633XG020,0.5
E10528700,1.5
163307051,1
E12306700,4
163303019,0.35
163442106,4
1633X4080,2.5
E00393000,2.5
16AC4G010,0.35
163305055,1
E12575800,0.5
163302060,1.5
163427073,2
163482011,0.35
16ACG2010,0.35
164M07020,0.5
163306079,2
163306053,1
169430048,0.75
163478068,1.5
E12313800,4
E12575900,0.5
164M52020,0.5
16AC83010,0.35
16344A020,0.5
164M62020,0.5
E07551300,2.5
164M08020,0.5
163458011,0.35
163427081,2.5
164MX2020,0.5
163486012,0.35
E12849700,1
163445026,0.5
163407018,0.35
163408016,0.35
163300049,0.75
16345A040,0.75
163486046,0.75
164MX8040,0.75
E09884500,0.75
16AC20010,0.35
169426061,1.5
163305063,1.5
E12306200,2.5
E03751300,1.5
16AC3G010,0.35
163463011,0.35
163424013,0.35
163452010,0.35
16AC32010,0.35
163425010,0.35
16AC57010,0.35
163484017,0.35
163487010,0.35
163458080,2.5
E00019735,0.5
163430010,0.35
16ACG0010,0.35
16ACGA010,0.35
E00001725,0.5
16AC43010,0.35
163475080,2.5
164MX7020,0.5
164M24020,0.5
E12348400,0.35
16BM40020,0.5
16BM43020,0.5
16AC72010,0.35
167807064,1.5
169447042,0.75
163300015,0.35
164MX3020,0.5
16ACG3010,0.35
163456049,0.75
E16015100,0.35
E12576400,1.5
